"","LOCALITY_NAME","POSTCODE","SA2_MAINCODE","SA2_NAME"
"255","N ALBURY",2640,109011173,"Albury - North"
"256","NORTH ALBURY",2640,109011173,"Albury - North"
"257","ALBURY",2640,109011174,"Albury - South"
"258","ALBURY SOUTH",2640,109011174,"Albury - South"
"259","S ALBURY",2640,109011174,"Albury - South"
"260","SOUTH ALBURY",2640,109011174,"Albury - South"
"261","SPLITTERS CREEK",2640,109011174,"Albury - South"
"262","ALBURY WEST",2640,109011174,"Albury - South"
"263","W ALBURY",2640,109011174,"Albury - South"
"264","WEST ALBURY",2640,109011174,"Albury - South"
"265","COOKARDINIA",2650,109011175,"Albury Region"
"266","HOLBROOK",2650,109011175,"Albury Region"
"267","COPPABELLA",2644,109011175,"Albury Region"
"268","CULCAIRN",2660,109011175,"Albury Region"
"269","ETTAMOGAH",2640,109011175,"Albury Region"
"270","GEROGERY",2642,109011175,"Albury Region"
"271","GEROGERY WEST",2642,109011175,"Albury Region"
"272","GLENELLEN",2642,109011175,"Albury Region"
"273","HUON",2642,109011175,"Albury Region"
"274","HENTY",2658,109011175,"Albury Region"
"275","COOKARDINIA",2644,109011175,"Albury Region"
"276","HOLBROOK",2644,109011175,"Albury Region"
"277","JINDERA",2642,109011175,"Albury Region"
"278","CARABOST",2644,109011175,"Albury Region"
"279","LANKEYS CREEK",2644,109011175,"Albury Region"
"280","LITTLE BILLABONG",2644,109011175,"Albury Region"
"281","MOORWATHA",2640,109011175,"Albury Region"
"282","MORVEN",2660,109011175,"Albury Region"
"283","MOUNTAIN CREEK",2644,109011175,"Albury Region"
"284","MULLENGANDRA",2644,109011175,"Albury Region"
"285","TABLE TOP",2640,109011175,"Albury Region"
"286","TALMALMO",2640,109011175,"Albury Region"
"287","WALBUNDRIE",2642,109011175,"Albury Region"
"288","CASTLESTEAD",2659,109011175,"Albury Region"
"289","WALLA WALLA",2659,109011175,"Albury Region"
"290","WANTAGONG",2644,109011175,"Albury Region"
"291","ALMA PARK",2659,109011175,"Albury Region"
"292","WOOMARGAMA",2644,109011175,"Albury Region"
"293","WAGRA",2640,109011175,"Albury Region"
"294","WYMAH",2640,109011175,"Albury Region"
"295","YARARA",2644,109011175,"Albury Region"
"296","BOWNA",2644,109011175,"Albury Region"
"297","CUMBOROONA",2644,109011175,"Albury Region"
"298","BROCKLESBY",2642,109011175,"Albury Region"
"299","BUNGOWANNAH",2640,109011175,"Albury Region"
"300","BURRUMBUTTOCK",2640,109011175,"Albury Region"
"301","BURRUMBUTTOCK",2642,109011175,"Albury Region"
"302","CARABOST",2650,109011175,"Albury Region"
"303","FISHERMAN BAY",2316,106031119,"Anna Bay"
"304","FISHERMANS BAY",2316,106031119,"Anna Bay"
"305","ONE MILE",2316,106031119,"Anna Bay"
"306","BOAT HARBOUR",2316,106031119,"Anna Bay"
"307","ONE MILE BEACH",2316,106031119,"Anna Bay"
"308","BOBS FARM",2316,106031119,"Anna Bay"
"309","ANNA BAY",2316,106031119,"Anna Bay"
"310","ACACIA PARK",2350,110011186,"Armidale"
"311","ARGYLE",2350,110011186,"Armidale"
"312","ARMIDALE",2350,110011186,"Armidale"
"313","ARMIDALE WEST",2350,110011186,"Armidale"
"314","BEN VENUE",2350,110011186,"Armidale"
"315","BONA VISTA",2350,110011186,"Armidale"
"316","COMMISSIONERS WATERS",2350,110011186,"Armidale"
"317","MADGWICK",2350,110011186,"Armidale"
"318","NEWLING",2350,110011186,"Armidale"
"319","NORTH HILL",2350,110011186,"Armidale"
"320","S HILL",2350,110011186,"Armidale"
"321","SOUDAN HEIGHTS",2350,110011186,"Armidale"
"322","SOUTH HILL",2350,110011186,"Armidale"
"323","ST PATRICKS",2350,110011186,"Armidale"
"324","UNIVERSITY OF NEW ENGLAND",2350,110011186,"Armidale"
"325","W ARMIDALE",2350,110011186,"Armidale"
"326","WEST ARMIDALE",2350,110011186,"Armidale"
"327","DONALD CREEK",2350,110011187,"Armidale Region - North"
"328","BACKWATER",2365,110011187,"Armidale Region - North"
"329","DUMARESQ",2350,110011187,"Armidale Region - North"
"330","DUVAL",2350,110011187,"Armidale Region - North"
"331","EBOR",2453,110011187,"Armidale Region - North"
"332","GUY FAWKES",2453,110011187,"Armidale Region - North"
"333","BALD BLAIR",2365,110011187,"Armidale Region - North"
"334","BALDERSLEIGH",2365,110011187,"Armidale Region - North"
"335","FALCONER",2365,110011187,"Armidale Region - North"
"336","GREEN HILLS",2365,110011187,"Armidale Region - North"
"337","GREENHILLS",2365,110011187,"Armidale Region - North"
"338","GUYRA",2365,110011187,"Armidale Region - North"
"339","HILLGROVE",2350,110011187,"Armidale Region - North"
"340","WINTERBOURNE",2350,110011187,"Armidale Region - North"
"341","JEOGLA",2350,110011187,"Armidale Region - North"
"342","KOOKABOOKRA",2370,110011187,"Armidale Region - North"
"343","LLANGOTHIN",2365,110011187,"Armidale Region - North"
"344","LLANGOTHLIN",2365,110011187,"Armidale Region - North"
"345","LYNDHURST",2350,110011187,"Armidale Region - North"
"346","BEN LOMOND",2365,110011187,"Armidale Region - North"
"347","OBAN",2365,110011187,"Armidale Region - North"
"348","PUDDLEDOCK",2350,110011187,"Armidale Region - North"
"349","GUYRA SOUTH",2365,110011187,"Armidale Region - North"
"350","S GUYRA",2365,110011187,"Armidale Region - North"
"351","SOUTH GUYRA",2365,110011187,"Armidale Region - North"
"352","BROOKSIDE",2350,110011187,"Armidale Region - North"
"353","THALGARRAH",2350,110011187,"Armidale Region - North"
"354","ARMIDALE",2365,110011187,"Armidale Region - North"
"355","BLACK MOUNTAIN",2365,110011187,"Armidale Region - North"
"356","TILBUSTER",2350,110011187,"Armidale Region - North"
"357","TUBBAMURRA",2365,110011187,"Armidale Region - North"
"358","TUBBUMURRA",2365,110011187,"Armidale Region - North"
"359","WARDS MISTAKE",2350,110011187,"Armidale Region - North"
"360","WOLLOMOMBI",2350,110011187,"Armidale Region - North"
"361","YOOROONAH",2350,110011187,"Armidale Region - North"
"362","WONGWIBINDA",2350,110011187,"Armidale Region - North"
"363","BOOROLONG",2350,110011187,"Armidale Region - North"
"364","METZ",2350,110011187,"Armidale Region - North"
"365","BROCKLEY",2365,110011187,"Armidale Region - North"
"366","BRUSHY CREEK",2365,110011187,"Armidale Region - North"
"367","ABERFOYLE",2350,110011187,"Armidale Region - North"
"368","CRESSBROOK",2350,110011188,"Armidale Region - South"
"369","DANGARSLEIGH",2350,110011188,"Armidale Region - South"
"370","ABINGTON",2350,110011188,"Armidale Region - South"
"371","BINDAWALLA",2350,110011188,"Armidale Region - South"
"372","BAKERS CREEK",2359,110011188,"Armidale Region - South"
"373","BALALA",2358,110011188,"Armidale Region - South"
"374","ENMORE",2350,110011188,"Armidale Region - South"
"375","GOSTWICK",2358,110011188,"Armidale Region - South"
"376","GOSTWYCK",2358,110011188,"Armidale Region - South"
"377","INVERGOWRIE",2350,110011188,"Armidale Region - South"
"378","KELLYS PLAINS",2350,110011188,"Armidale Region - South"
"379","KELLY''S PLAINS",2350,110011188,"Armidale Region - South"
"380","KENTUCKY",2354,110011188,"Armidale Region - South"
