"","NAME","State","Postcode","Cardiac.ARIA"
"1477","MARULAN","NSW","2579","6A"
"1478","MARULAN SOUTH","NSW","2579","6A"
"1479","MARX HILL","NSW","2454","1A"
"1480","MARYLAND","NSW","2372","5A"
"1481","MARYLAND","NSW","2287","1A"
"1482","MARYS MOUNT","NSW","2380","6A"
"1483","MARYVALE","NSW","2820","5A"
"1484","MARYVILLE","NSW","2293","1A"
"1485","MASCOT","NSW","2020","1A"
"1486","MCDOUGALLS HILL","NSW","2330","4A"
"1487","MCGRATHS HILL","NSW","2756","1A"
"1488","MCKEES HILL","NSW","2480","2A"
"1489","MCKELLARS PADDOCK","NSW","2790","4A"
"1490","MCKELLARS PARK","NSW","2790","4A"
"1491","MCLEANS RIDGES","NSW","2480","2A"
"1492","MCLEODS SHOOT","NSW","2479","2A"
"1493","MCMAHONS POINT","NSW","2060","1A"
"1494","MCMAHONS REEF","NSW","2587","5A"
"1495","MEADOW FLAT","NSW","2795","5A"
"1496","MEADOWBANK","NSW","2114","1A"
"1497","MEBBIN","NSW","2484","6A"
"1498","MEBUL","NSW","2852","5A"
"1499","MEDLOW BATH","NSW","2780","4A"
"1500","MEDOWIE","NSW","2318","3A"
"1501","MEDWAY","NSW","2577","3A"
"1502","MEDWAY","NSW","2820","6A"
"1503","MERAH NORTH","NSW","2388","5A"
"1504","MEREWETHER","NSW","2291","1A"
"1505","MEREWETHER HEIGHTS","NSW","2291","1A"
"1506","MERIMBULA","NSW","2548","4A"
"1507","MERINGO","NSW","2537","4A"
"1508","MERNOT","NSW","2422","6B"
"1509","MEROO","NSW","2850","6A"
"1510","MEROO MEADOW","NSW","2540","3A"
"1511","MEROTHERIE","NSW","2852","6A"
"1512","MERRIANGAAH","NSW","2632","6B"
"1513","MERRICUMBENE","NSW","2622","6A"
"1514","MERRIGAL","NSW","2827","6B"
"1515","MERRILL","NSW","2581","6A"
"1516","MERRIWA","NSW","2329","5B"
"1517","MERRIWAGGA","NSW","2652","6A"
"1518","MIDDLETON GRANGE","NSW","2171","1A"
"1519","MIDDLINGBANK","NSW","2630","6A"
"1520","MIDGINBIL","NSW","2484","6A"
"1521","MIHI","NSW","2358","6A"
"1522","MILA","NSW","2632","5B"
"1523","MILBRODALE","NSW","2330","6A"
"1524","MILBRULONG","NSW","2656","5A"
"1525","MILGUY","NSW","2400","6A"
"1526","MILKERS FLAT","NSW","2795","6A"
"1527","MILLAH MURRAH","NSW","2795","6A"
"1528","MILLBANK","NSW","2440","6A"
"1529","MILLER","NSW","2168","1A"
"1530","MILLERS FOREST","NSW","2324","1A"
"1531","MILLERS POINT","NSW","2000","1A"
"1532","MILLFIELD","NSW","2325","4A"
"1533","MINIMBAH","NSW","2312","6A"
"1534","MINJARY","NSW","2720","5A"
"1535","MINMI","NSW","2287","1A"
"1536","MINNAMURRA","NSW","2533","4A"
"1537","MINNAMURRA","NSW","2833","6C"
"1538","MINNIE WATER","NSW","2462","6A"
"1539","MINORE","NSW","2830","2A"
"1540","MINORE FALLS","NSW","2830","2A"
"1541","MINTO","NSW","2566","1A"
"1542","MINTO HEIGHTS","NSW","2566","1A"
"1543","MIRADOR","NSW","2548","4A"
"1544","MIRANDA","NSW","2228","1A"
"1545","MIRANNIE","NSW","2330","6A"
"1546","MIRRABOOKA","NSW","2831","8E"
"1547","MIRRABOOKA","NSW","2264","2A"
"1548","MOGRANI","NSW","2422","5A"
"1549","MOGRIGUY","NSW","2830","6A"
"1550","MOIRA","NSW","2710","4A"
"1551","MOLE RIVER","NSW","2372","6B"
"1552","MOLEVILLE CREEK","NSW","2460","3A"
"1553","MOLLYAN","NSW","2842","6B"
"1554","MOLLYMOOK","NSW","2539","4A"
"1555","MOLLYMOOK BEACH","NSW","2539","4A"
"1556","MOLONG","NSW","2866","1A"
"1557","MONA VALE","NSW","2103","1A"
"1558","MONAK","NSW","2738","3A"
"1559","MONALTRIE","NSW","2480","2A"
"1560","MONDAYONG","NSW","2540","3A"
"1561","MONDROOK","NSW","2430","3A"
"1562","MONGA","NSW","2622","5A"
"1563","MONGARLOWE","NSW","2622","5A"
"1564","MONGOGARIE","NSW","2470","4A"
"1565","MONIA GAP","NSW","2675","6B"
"1566","MONIVAE","NSW","2850","5A"
"1567","MONKERAI","NSW","2415","5A"
"1568","MOONAN BROOK","NSW","2337","6B"
"1569","MOONAN FLAT","NSW","2337","6B"
"1570","MOONBAH","NSW","2627","6A"
"1571","MOONBI","NSW","2353","2A"
"1572","MOONBRIA","NSW","2710","6A"
"1573","MOONEBA","NSW","2440","4A"
"1574","MOONEE","NSW","2259","2A"
"1575","MOONEE","NSW","2450","1A"
"1576","MOONEE BEACH","NSW","2450","1A"
"1577","MOONEM","NSW","2472","5A"
"1578","MOONEY MOONEY","NSW","2083","1A"
"1579","MOONEY MOONEY CREEK","NSW","2250","1A"
"1580","MOONPAR","NSW","2453","5A"
"1581","MOORAL CREEK","NSW","2429","6A"
"1582","MOORBEL","NSW","2804","4A"
"1583","MOORE CREEK","NSW","2340","2A"
"1584","MOORE PARK","NSW","2021","1A"
"1585","MOOREBANK","NSW","2170","1A"
"1586","MORISSET","NSW","2264","1A"
"1587","MORISSET PARK","NSW","2264","2A"
"1588","MORNING BAY","NSW","2105","2A"
"1589","MORONGLA CREEK","NSW","2794","4A"
"1590","MORORO","NSW","2469","4A"
"1591","MORPETH","NSW","2321","1A"
"1592","MORTDALE","NSW","2223","1A"
"1593","MORTLAKE","NSW","2137","1A"
"1594","MORTON","NSW","2538","4A"
"1595","MORTON PLAINS","NSW","2840","8E"
"1596","MORTONS CREEK","NSW","2446","5A"
"1597","MORTS ESTATE","NSW","2790","4A"
"1598","MORUBEN","NSW","2325","6E"
"1599","MORUNDAH","NSW","2700","6B"
"1600","MORUYA","NSW","2537","4A"
"1601","MORUYA HEADS","NSW","2537","4A"
"1602","MORVEN","NSW","2370","6A"
"1603","MORVEN","NSW","2660","5A"
"1604","MOSMAN","NSW","2088","1A"
"1605","MOUNT COLAH","NSW","2079","1A"
"1606","MOUNT COLLINS","NSW","2794","6A"
"1607","MOUNT COOPER","NSW","2631","6A"
"1608","MOUNT DARRAGH","NSW","2632","6A"
"1609","MOUNT DAVID","NSW","2795","6A"
"1610","MOUNT DEE","NSW","2320","1A"
"1611","MOUNT DRUITT","NSW","2770","1A"
"1612","MOUNT ELLIOT","NSW","2250","1A"
"1613","MOUNT FAIRY","NSW","2580","6A"
"1614","MOUNT FOSTER","NSW","2824","6C"
"1615","MOUNT FROME","NSW","2850","4A"
"1616","MOUNT GEORGE","NSW","2421","6A"
"1617","MOUNT GEORGE","NSW","2424","6A"
"1618","MOUNT MACKENZIE","NSW","2372","5B"
"1619","MOUNT MARSDEN","NSW","2849","5A"
"1620","MOUNT MARSH","NSW","2469","6A"
"1621","MOUNT MCDONALD","NSW","2808","6A"
"1622","MOUNT MITCHELL","NSW","2365","6A"
"1623","MOUNT MURRAY","NSW","2577","3A"
"1624","MOUNT OLIVE","NSW","2330","4A"
"1625","MOUNT OLIVE","NSW","2787","4A"
"1626","MOUNT OUSLEY","NSW","2519","1A"
"1627","MOUNT PANORAMA","NSW","2795","3A"
"1628","MOUNT PLEASANT","NSW","2519","1A"
"1629","MOUNT PLEASANT","NSW","2749","1A"
"1630","MOUNT PLEASANT","NSW","2836","6E"
"1631","MOUNT WARNING","NSW","2484","4A"
"1632","MOUNT WARRIGAL","NSW","2528","1A"
"1633","MOUNT WERONG","NSW","2787","6B"
"1634","MOUNT WHITE","NSW","2250","1A"
"1635","MOUNT WILSON","NSW","2786","6A"
"1636","MOUNTAIN CREEK","NSW","2660","5A"
"1637","MOUNTAIN CREEK","NSW","2830","6A"
"1638","MOUNTAIN LAGOON","NSW","2758","6A"
"1639","MOUNTAIN TOP","NSW","2480","5A"
"1640","MOUNTAIN VIEW","NSW","2460","3A"
"1641","MOWBRAY","NSW","2421","6A"
"1642","MOWBRAY PARK","NSW","2571","2A"
"1643","MOZART","NSW","2787","5A"
"1644","MUCKERWA","NSW","2820","6A"
"1645","MUDGEE","NSW","2850","4A"
"1646","MUMBIL","NSW","2820","5A"
"1647","MUMBLEBONE PLAIN","NSW","2824","6C"
"1648","MUMBULLA MOUNTAIN","NSW","2550","4A"
"1649","MUMMEL","NSW","2580","3A"
"1650","MUMMULGUM","NSW","2469","6A"
"1651","MUNDAMIA","NSW","2540","3A"
"1652","MUNDARLO","NSW","2729","6A"
"1653","MUNDEROO","NSW","2653","5A"
"1654","MUNDONGO","NSW","2720","5A"
"1655","MUNGAY CREEK","NSW","2440","6A"
"1656","MUNGHORN","NSW","2850","6A"
"1657","MUNGINDI","NSW","2406","5C"
"1658","MUNGO","NSW","2715","6E"
"1659","MUNGO BRUSH","NSW","2423","5A"
"1660","MUNNI","NSW","2420","5A"
"1661","MURRINGO","NSW","2586","5A"
"1662","MURRULEBALE","NSW","2652","6A"
"1663","MURRUMBATEMAN","NSW","2582","5A"
"1664","MURRUMBIDGERIE","NSW","2830","2A"
"1665","MURRUMBO","NSW","2849","6C"
"1666","MURRUMBUCCA","NSW","2630","4A"
"1667","MURRUMBURRAH","NSW","2587","5A"
"1668","MURRURUNDI","NSW","2338","5B"
"1669","MURULLA","NSW","2337","5B"
"1670","MURWILLUMBAH","NSW","2484","2A"
"1671","MUSCLE CREEK","NSW","2333","4A"
"1672","MUSWELLBROOK","NSW","2333","4A"
"1673","MUTAWINTJI","NSW","2880","6E"
"1674","MUTTAMA","NSW","2722","6A"
"1675","MYALL CREEK","NSW","2403","5A"
"1676","MYALL LAKE","NSW","2423","6A"
"1677","MYALL PARK","NSW","2681","6A"
"1678","MYALLA","NSW","2630","6A"
"1679","MYAMBAT","NSW","2328","5A"
"1680","MYLESTOM","NSW","2454","1A"
"1681","MYLNEFORD","NSW","2460","3A"
"1682","MYOCUM","NSW","2481","4A"
"1683","MYOLA","NSW","2540","3A"
"1684","NANA GLEN","NSW","2450","1A"
"1685","NANANGROE","NSW","2727","6A"
"1686","NANGAR","NSW","2804","5A"
"1687","NANGUS","NSW","2722","5A"
"1688","NANIMA","NSW","2618","6A"
"1689","NANIMA","NSW","2820","5A"
"1690","NAPIER LANE","NSW","2379","6B"
"1691","NAPOLEON REEF","NSW","2795","3A"
"1692","NARADHAN","NSW","2669","6B"
"1693","NARARA","NSW","2250","1A"
"1694","NAREENA HILLS","NSW","2525","1A"
"1695","NARELLAN","NSW","2567","1A"
