Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by HSCP Highest Year of School Completed"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HSCP Highest Year of School Completed","Year 12 or equivalent","Year 11 or equivalent","Year 10 or equivalent","Year 9 or equivalent","Year 8 or below","Did not go to school","Not stated","Not applicable","Total",
"SA2 (UR)",
"Sydenham - Tempe - St Peters",4467,317,808,165,301,118,506,1171,7840,
"Darlinghurst",7741,314,594,148,97,55,1823,542,11317,
"Erskineville - Alexandria",11297,482,1001,172,163,55,1315,1755,16236,
"Glebe - Forest Lodge",13133,542,1329,394,322,104,2040,1740,19614,
"Newtown - Camperdown - Darlington",17986,593,1228,314,313,95,2183,2134,24840,
"Potts Point - Woolloomooloo",13204,711,1273,252,201,57,4708,788,21200,
"Pyrmont - Ultimo",15414,599,951,360,309,154,2300,1561,21655,
"Redfern - Chippendale",15581,698,1206,374,431,196,2735,1267,22495,
"Surry Hills",11273,458,917,244,316,156,2243,807,16416,
"Sydney - Haymarket - The Rocks",19494,581,839,361,342,272,4264,1251,27408,
"Waterloo - Beaconsfield",21980,1148,2088,617,749,262,3390,2826,33061,
"Bondi - Tamarama - Bronte",11386,576,1228,298,254,48,1802,2812,18401,
"Bondi Beach - North Bondi",12897,584,1203,287,203,34,2334,3189,20729,
"Bondi Junction - Waverly",10079,512,1106,309,224,46,2058,2525,16853,
"Centennial Park",0,0,0,0,0,0,0,0,0,
"Double Bay - Bellevue Hill",16129,767,1369,407,196,35,2385,3575,24870,
"Dover Heights",6634,324,721,197,125,14,632,2180,10830,
"Paddington - Moore Park",10189,431,795,183,136,30,1438,1976,15171,
"Rose Bay - Vaucluse - Watsons Bay",7054,408,776,295,126,18,755,2405,11844,
"Woollahra",4979,217,382,124,66,15,757,1136,7686,
"Coogee - Clovelly",15356,757,2031,505,343,66,2186,4199,25455,
"Malabar - La Perouse - Chifley",10206,960,3535,960,763,162,3467,3990,24036,
"Kensington (NSW)",10573,443,754,231,225,92,1099,1463,14887,
"Kingsford",10586,456,950,364,499,123,857,1767,15602,
"Maroubra - North",5635,320,987,314,311,65,587,1598,9812,
"Maroubra - South",5740,378,1207,342,346,71,846,1752,10681,
"Maroubra - West",6050,335,901,274,299,90,632,1618,10195,
"Randwick - North",10667,528,1214,279,281,51,1183,2677,16874,
"Randwick - South",8094,407,866,233,208,41,1387,1888,13113,
"Bass Hill - Georges Hall",8008,954,3649,1110,1302,503,1388,4911,21834,
"Chullora",513,22,59,11,18,14,67,188,900,
"Condell Park",4602,532,1559,476,649,241,589,2655,11305,
"Greenacre - Mount Lewis",10310,1065,3565,967,1497,673,1607,6285,25964,
"Padstow",7355,676,2990,869,682,177,935,2800,16475,
"Panania - Milperra - Picnic Point",10612,1098,5215,1387,874,187,1174,5229,25788,
"Revesby",7066,675,2731,851,735,219,879,3073,16223,
"Yagoona - Birrong",8461,868,2909,917,1283,533,1226,4496,20706,
"Bankstown - North",7710,511,1523,518,811,368,1134,3659,16237,
"Bankstown - South",6996,600,1681,582,930,542,1280,3387,15993,
"Belmore - Belfield",8772,777,2318,709,1278,507,1153,3524,19033,
"Canterbury (South) - Campsie",16767,985,2822,1042,1586,863,1763,4786,30620,
"Kingsgrove (North) - Earlwood",10834,821,3107,795,1920,461,1377,4367,23679,
"Punchbowl",8618,844,2624,766,1292,688,1242,4673,20753,
"Roselands",6056,539,1880,568,753,261,763,2921,13739,
"Lakemba",7745,464,1350,466,1066,577,1058,4286,17019,
"Wiley Park",4843,349,815,241,537,240,713,2477,10217,
