Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Families, Place of Enumeration"
"SA2 by HOSD Housing Suitability"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"HOSD Housing Suitability","Four or more extra bedrooms needed","Three extra bedrooms needed","Two extra bedrooms needed","One extra bedroom needed","No bedrooms needed or spare","One bedroom spare","Two bedrooms spare","Three bedrooms spare","Four or more bedrooms spare","Unable to determine","Not stated","Not applicable","Total",
"SA2",
"Newcastle Port - Kooragang",0,0,0,0,0,3,6,0,0,0,0,0,9,
"Shortland - Jesmond",6,11,48,257,1061,1287,881,155,85,134,127,150,4211,
"Stockton - Fullerton Cove",3,4,9,77,490,1126,903,259,21,91,86,171,3244,
"Wallsend - Elermore Vale",0,13,39,230,1558,2827,2345,560,78,295,184,229,8356,
"Waratah - North Lambton",6,9,27,180,1233,1806,1204,181,45,196,133,143,5162,
"Wickham - Carrington - Tighes Hill",0,0,23,116,897,1351,894,58,21,145,98,229,3827,
"Ballina",0,4,27,153,1286,2722,2360,653,81,220,253,678,8442,
"Ballina Region",0,13,36,115,852,1942,2112,1003,168,225,146,453,7063,
"Bangalow",4,0,18,52,401,600,615,231,50,129,41,260,2394,
"Brunswick Heads - Ocean Shores",0,6,22,121,714,1028,1057,285,46,186,83,439,3986,
"Byron Bay",0,3,22,138,751,1066,973,278,39,204,123,967,4555,
"Evans Head",3,0,13,60,439,685,681,175,30,72,71,428,2663,
"Lennox Head - Skennars Head",0,3,4,66,361,870,983,422,60,166,48,243,3220,
"Mullumbimby",8,3,35,120,750,935,761,251,44,181,104,552,3744,
"Casino",0,9,44,135,827,1627,1479,488,40,127,152,311,5238,
"Casino Region",0,8,28,81,411,775,871,277,55,103,61,259,2916,
"Goonellabah",0,5,9,116,734,1612,1845,641,106,146,119,299,5643,
"Kyogle",3,0,23,103,548,905,988,294,54,73,90,306,3385,
"Lismore",8,4,33,211,1410,2124,1682,410,68,247,211,581,6985,
"Lismore Region",0,17,30,193,1062,1612,1751,743,136,257,131,528,6467,
"Kingscliff - Fingal Head",0,7,24,134,1120,1794,1323,479,76,180,146,658,5944,
"Murwillumbah",0,0,23,104,671,1255,1050,272,34,121,95,248,3881,
"Murwillumbah Region",0,3,31,132,703,1036,1101,406,98,149,100,448,4207,
"Pottsville",4,7,13,123,892,1506,1649,523,59,212,142,446,5578,
"Tweed Heads",0,3,38,238,1676,3378,2096,511,86,273,277,916,9498,
"Banora Point",0,3,33,137,948,2021,2291,733,85,192,138,244,6825,
"Terranora - North Tumblegum",0,9,6,20,100,276,358,243,59,48,13,36,1171,
"Tweed Heads South",0,4,20,93,810,1361,1014,218,17,119,144,489,4289,
"Griffith (NSW)",15,33,68,305,1141,2052,2035,723,66,235,245,660,7583,
"Griffith Region",4,5,27,107,642,1220,1498,613,107,266,122,512,5130,
"Leeton",0,3,17,69,504,1083,1255,498,73,104,116,340,4066,
"Narrandera",4,0,10,44,280,709,819,284,51,81,68,276,2629,
"Tumbarumba",0,0,6,20,162,352,483,189,34,47,41,124,1464,
"Tumut",0,0,6,56,359,806,831,257,33,77,56,250,2743,
"Tumut Region",4,7,10,30,230,506,651,269,35,66,50,168,2022,
"Cootamundra",0,0,0,36,363,945,1157,420,60,97,85,204,3373,
"Gundagai",0,0,0,33,174,398,480,209,33,48,45,121,1535,
"Junee",0,4,18,45,291,586,685,215,37,62,85,188,2206,
"Temora",0,5,3,65,362,795,927,338,66,83,62,169,2871,
"Wagga Wagga - East",0,0,19,112,673,1897,2059,1125,176,225,132,221,6629,
"Wagga Wagga - North",0,4,0,25,199,472,404,184,18,72,37,82,1496,
"Wagga Wagga - South",0,3,33,191,1119,2589,2760,1044,122,232,205,346,8652,
"Wagga Wagga - West",0,3,29,131,900,1936,1313,315,38,133,162,387,5351,
"Wagga Wagga Region",0,0,16,99,672,1390,1842,772,171,198,136,432,5729,
"Berry - Kangaroo Valley",0,0,12,46,434,1141,1138,575,112,124,99,327,4009,
"Callala Bay - Currarong",0,0,4,31,171,339,512,291,29,58,28,122,1582,
"Culburra Beach",3,8,6,33,288,637,760,248,68,71,54,154,2317,
"Ettrema - Sassafras - Budawang",0,0,0,0,5,8,7,0,0,0,0,7,22,
"Huskisson - Vincentia",0,0,3,30,196,449,679,352,48,59,49,159,2021,
"North Nowra - Bomaderry",4,11,21,102,777,1844,2113,961,142,220,144,351,6687,
"Nowra",0,13,50,197,1175,2202,2290,1035,125,258,207,523,8075,
"St Georges Basin - Erowal Bay",0,4,21,160,734,1734,2077,693,78,158,197,296,6148,
"Sussex Inlet - Berrara",0,8,14,42,274,608,634,292,32,44,66,133,2140,
"Tomerong - Wandandian - Woollamia",0,0,8,46,159,340,411,212,41,37,30,81,1365,
"Ulladulla",3,5,19,92,740,1761,2323,1028,147,204,173,470,6972,
"Ulladulla Region",0,6,6,51,236,603,769,279,62,52,47,232,2344,
"Bowral",3,3,16,56,432,1389,1784,1113,213,202,99,276,5585,
"Hill Top - Colo Vale",0,0,10,92,319,633,671,281,40,93,41,94,2288,
"Mittagong",0,9,13,75,409,1016,1205,489,87,142,87,242,3781,
"Moss Vale - Berrima",4,0,13,88,495,1108,1278,580,93,119,95,217,4101,
"Robertson - Fitzroy Falls",0,0,3,27,118,327,457,267,65,63,18,123,1472,
"Southern Highlands",0,0,12,32,275,629,898,544,127,110,52,174,2865,
"Baulkham Hills (East)",6,9,54,244,1553,2759,2367,856,154,296,121,176,8596,
"Baulkham Hills (West) - Bella Vista",5,17,42,145,773,1882,1949,1203,251,324,69,115,6772,
"Glenhaven",0,0,5,19,131,680,707,411,121,91,34,46,2249,
"West Pennant Hills",0,0,4,54,374,1046,1286,980,271,192,57,68,4344,
"Castle Hill - Central",7,0,6,83,546,939,732,307,59,99,43,79,2901,
"Castle Hill - East",0,3,0,18,429,656,474,239,49,68,51,49,2034,
"Castle Hill - North",0,6,7,71,410,1152,1177,866,200,178,64,102,4233,
"Castle Hill - South",4,0,17,98,553,1002,915,485,109,148,52,83,3466,
"Castle Hill - West",0,0,0,32,159,428,547,358,67,77,16,31,1719,
"Cherrybrook",0,3,18,118,756,1972,1803,1176,174,281,74,122,6497,
"Kellyville",9,5,26,106,738,2183,2415,1337,210,332,83,157,7595,
"Dural - Kenthurst - Wisemans Ferry",10,22,39,148,825,1835,1874,1302,466,386,136,339,7384,
"Galston - Laughtondale",9,0,10,42,230,505,499,309,119,82,33,91,1927,
"Bilpin - Colo - St Albans",3,0,12,31,166,273,284,117,29,27,22,177,1141,
"Kurrajong Heights - Ebenezer",5,13,51,204,1049,2031,2231,1169,303,311,140,405,7922,
"Pitt Town - McGraths Hill",0,12,21,114,537,964,1051,521,131,169,93,176,3799,
"Rouse Hill - Beaumont Hills",0,10,23,111,709,2096,2212,1328,172,292,103,164,7220,
"Blacktown (East) - Kings Park",16,43,212,623,1707,1959,1075,279,52,175,209,287,6648,
"Blacktown (North) - Marayong",14,33,129,517,1464,1980,1630,314,55,203,226,197,6760,
"Doonside - Woodcroft",21,27,163,496,1636,2234,1955,609,90,296,206,248,7981,
