Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA2 (UR) by CHCAREP Unpaid Child Care"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"CHCAREP Unpaid Child Care","Did not provide child care","Cared for own child/children","Cared for other child/children","Cared for own child/children and other child/children","Not stated","Not applicable","Total",
"SA2 (UR)",
"Kyogle",3988,895,439,51,724,1217,7312,
"Lismore",8280,2117,837,132,1319,2599,15282,
"Lismore Region",7614,2262,1049,144,1264,2696,15028,
"Kingscliff - Fingal Head",6604,2166,784,100,1072,2420,13150,
"Murwillumbah",4495,1325,553,60,821,1689,8942,
"Murwillumbah Region",4941,1377,654,52,953,1679,9653,
"Pottsville",6235,2307,852,92,947,2748,13181,
"Tweed Heads",11268,2408,1140,90,1893,2618,19418,
"Banora Point",8926,2213,980,104,977,2440,15636,
"Terranora - North Tumblegum",1595,578,225,37,133,684,3249,
"Tweed Heads South",5061,883,398,30,731,1045,8146,
"Griffith (NSW)",9241,2890,1074,110,1893,3934,19143,
"Griffith Region",6020,2034,749,63,1244,2776,12880,
"Leeton",5001,1407,655,46,931,2051,10086,
"Narrandera",2955,849,363,35,658,1178,6034,
"Tumbarumba",1771,445,196,9,465,561,3445,
"Tumut",3033,908,396,36,711,1191,6275,
"Tumut Region",2437,724,262,23,418,855,4715,
"Cootamundra",4237,935,447,56,590,1294,7566,
"Gundagai",1767,545,246,13,306,724,3596,
"Junee",2659,755,333,37,1353,1108,6245,
"Temora",3575,944,393,41,502,1275,6717,
"Wagga Wagga - East",8128,2793,1227,126,823,3498,16585,
"Wagga Wagga - North",2400,678,234,29,236,822,4404,
"Wagga Wagga - South",10330,3661,1310,151,1143,4668,21266,
"Wagga Wagga - West",6849,1528,697,48,1070,1966,12155,
"Wagga Wagga Region",6908,2469,894,102,1274,3181,14819,
"Berry - Kangaroo Valley",4994,1057,666,71,770,1236,8788,
"Callala Bay - Currarong",2138,419,234,15,295,511,3611,
"Culburra Beach",2969,543,328,28,449,642,4962,
"Ettrema - Sassafras - Budawang",31,7,3,0,9,7,54,
"Huskisson - Vincentia",2450,526,318,21,324,547,4194,
"North Nowra - Bomaderry",8237,2289,1150,127,1083,2870,15759,
"Nowra",9345,2973,1165,156,2414,3984,20040,
"St Georges Basin - Erowal Bay",7748,1871,852,109,1087,2347,14006,
"Sussex Inlet - Berrara",2845,401,244,18,346,486,4345,
"Tomerong - Wandandian - Woollamia",1823,509,239,20,249,574,3405,
"Ulladulla",8690,1941,911,75,1313,2355,15279,
"Ulladulla Region",2881,635,360,22,437,728,5063,
"Bowral",7474,1721,842,84,819,2015,12948,
"Hill Top - Colo Vale",2817,1100,377,55,327,1353,6026,
"Mittagong",4731,1346,582,52,777,1517,8999,
"Moss Vale - Berrima",5075,1500,661,67,677,1819,9801,
"Robertson - Fitzroy Falls",1761,540,230,20,292,658,3506,
"Southern Highlands",3634,935,442,41,500,1037,6585,
"Baulkham Hills (East)",10733,4888,1403,117,788,5022,22943,
"Baulkham Hills (West) - Bella Vista",10494,3699,1355,93,506,3929,20068,
"Glenhaven",3416,982,470,40,209,1134,6253,
"West Pennant Hills",6976,2168,923,54,318,2203,12640,
"Castle Hill - Central",3736,1518,477,45,255,1574,7609,
"Castle Hill - East",3002,816,265,24,688,799,5594,
"Castle Hill - North",6246,2071,820,55,385,2314,11886,
"Castle Hill - South",4669,1842,686,45,295,1973,9519,
"Castle Hill - West",2659,1004,288,18,147,1117,5239,
"Cherrybrook",10214,3348,1214,84,482,3429,18768,
"Kellyville",10664,4919,1314,140,679,5511,23231,
"Dural - Kenthurst - Wisemans Ferry",10917,3501,1420,117,1064,3990,21019,
"Galston - Laughtondale",2675,879,403,30,256,971,5210,
"Bilpin - Colo - St Albans",1337,366,162,14,361,452,2691,
"Kurrajong Heights - Ebenezer",10607,3845,1492,180,1339,4426,21898,
"Pitt Town - McGraths Hill",5012,1952,714,81,498,2278,10531,
"Rouse Hill - Beaumont Hills",9695,5112,1175,147,677,5847,22651,
"Blacktown (East) - Kings Park",8485,3185,712,79,1022,3437,16920,
"Blacktown (North) - Marayong",9331,3032,1009,84,863,3707,18024,
"Doonside - Woodcroft",11629,3879,1172,93,1050,4690,22526,
"Lalor Park - Kings Langley",12631,4360,1510,146,1271,4961,24874,
"Seven Hills - Toongabbie",12134,4247,1361,109,1315,4752,23920,
"Blacktown (South)",6268,2162,595,53,651,2598,12325,
"Blacktown (West)",8345,2788,789,76,838,3321,16154,
"Glenwood",7701,3392,847,80,366,3749,16128,
"Parklea - Kellyville Ridge",12348,7804,1391,228,2047,8826,32645,
"Riverstone - Marsden Park",7887,3414,906,99,1100,3899,17307,
"Acacia Gardens",1767,814,219,20,81,898,3796,
"Quakers Hill",10502,4961,1139,143,742,5448,22945,
"Bidwill - Hebersham - Emerton",8562,2524,1024,106,1560,4658,18439,
"Glendenning - Dean Park",3889,1653,371,46,314,2074,8354,
"Hassall Grove - Plumpton",10135,3652,1055,123,934,4777,20673,
"Lethbridge Park - Tregear",9000,3318,1034,125,1733,5495,20705,
"Mount Druitt - Whalan",10758,3809,955,126,1398,5656,22701,
"Prospect Reservoir",17,0,0,0,15,4,39,
"Rooty Hill - Minchinbury",11077,3527,1143,108,929,4364,21152,
"Banksmeadow",13,3,0,0,6,5,18,
"Botany",5064,2146,494,60,822,2227,10822,
"Mascot - Eastlakes",14500,3635,995,67,1511,3693,24407,
"Pagewood - Hillsdale - Daceyville",6059,1825,526,41,925,1995,11374,
"Port Botany Industrial",0,0,0,0,0,0,11,
"Sydney Airport",21,7,0,0,28,0,61,
"Marrickville",15782,3732,1191,147,1907,3778,26540,
"Petersham - Stanmore",12027,2787,828,104,1769,2706,20234,
"Sydenham - Tempe - St Peters",4654,1182,300,43,497,1171,7840,
"Darlinghurst",8015,635,313,19,1805,542,11317,
"Erskineville - Alexandria",10588,2000,494,85,1316,1755,16236,
"Glebe - Forest Lodge",13217,1823,726,75,2024,1740,19614,
"Newtown - Camperdown - Darlington",17283,2333,758,104,2229,2134,24840,
"Potts Point - Woolloomooloo",14117,937,630,37,4691,788,21200,
"Pyrmont - Ultimo",15397,1761,630,31,2272,1561,21655,
"Redfern - Chippendale",16571,1369,538,50,2696,1267,22495,
"Surry Hills",12055,913,404,13,2224,807,16416,
"Sydney - Haymarket - The Rocks",19933,1581,527,17,4100,1251,27408,
"Waterloo - Beaconsfield",22756,3124,939,54,3365,2826,33061,
"Bondi - Tamarama - Bronte",10040,2816,841,90,1797,2812,18401,
"Bondi Beach - North Bondi",11285,3088,754,94,2321,3189,20729,
"Bondi Junction - Waverly",9211,2400,677,66,1979,2525,16853,
"Centennial Park",0,0,0,0,0,0,0,
"Double Bay - Bellevue Hill",13820,3460,1533,89,2402,3575,24870,
"Dover Heights",5241,2055,636,57,654,2180,10830,
"Paddington - Moore Park",9064,2004,655,50,1422,1976,15171,
"Rose Bay - Vaucluse - Watsons Bay",5742,2167,713,54,767,2405,11844,
"Woollahra",4156,1184,433,19,758,1136,7686,
"Coogee - Clovelly",13777,4139,1123,105,2102,4199,25455,
"Malabar - La Perouse - Chifley",11617,3603,1348,115,3357,3990,24036,
"Kensington (NSW)",10372,1471,469,32,1081,1463,14887,
"Kingsford",10594,1770,571,58,851,1767,15602,
"Maroubra - North",5571,1565,529,40,502,1598,9812,
"Maroubra - South",5770,1693,583,55,837,1752,10681,
"Maroubra - West",5926,1535,449,36,625,1618,10195,
"Randwick - North",9592,2763,676,99,1068,2677,16874,
"Randwick - South",7418,1931,473,61,1346,1888,13113,
"Bass Hill - Georges Hall",11271,3285,1039,74,1250,4911,21834,
"Chullora",436,173,27,5,70,188,900,
"Condell Park",5583,1823,592,25,630,2655,11305,
"Greenacre - Mount Lewis",13080,3897,1047,108,1551,6285,25964,
"Padstow",9305,2566,935,72,807,2800,16475,
"Panania - Milperra - Picnic Point",13189,4528,1545,151,1146,5229,25788,
"Revesby",8820,2623,782,67,854,3073,16223,
"Yagoona - Birrong",10970,3051,853,83,1253,4496,20706,
"Bankstown - North",8163,2722,490,58,1137,3659,16237,
"Bankstown - South",8251,2401,593,30,1334,3387,15993,
"Belmore - Belfield",10613,2926,840,71,1055,3524,19033,
"Canterbury (South) - Campsie",18104,4758,1092,71,1803,4786,30620,
"Kingsgrove (North) - Earlwood",12665,3873,1313,103,1350,4367,23679,
"Punchbowl",10775,3154,792,71,1291,4673,20753,
"Roselands",7029,2348,624,35,782,2921,13739,
"Lakemba",7851,3258,452,44,1121,4286,17019,
"Wiley Park",4763,1907,321,21,733,2477,10217,
"Hurstville",14208,3670,947,65,1246,3471,23613,
"Mortdale - Penshurst",13136,4164,1220,93,1158,4126,23907,
"Narwee - Beverly Hills",7802,2223,716,42,654,2344,13781,
