Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Families, Place of Enumeration"
"SA2 by RNTRD Rent (weekly) Ranges"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"Coonamble",89,37,13,41,33,67,66,56,21,35,9,6,0,7,0,0,0,0,0,3,0,0,0,39,1339,1863,
"Nyngan - Warren",70,32,29,73,54,75,54,79,24,37,4,23,0,0,0,0,0,0,0,0,0,0,0,47,1572,2186,
"Walgett - Lightning Ridge",170,143,49,101,76,148,146,122,36,26,12,9,4,3,0,5,0,0,0,0,0,0,3,71,2095,3228,
"Broken Hill",115,77,72,102,108,257,217,284,125,170,73,109,19,44,5,13,4,7,7,0,3,0,10,75,6348,8232,
"Far West",68,68,26,77,31,25,9,14,3,11,0,4,0,0,0,0,0,0,0,0,0,0,0,35,799,1166,
"Coonabarabran",110,36,25,91,77,129,109,127,26,40,7,13,3,5,0,4,0,0,5,0,0,0,3,43,2763,3609,
"Dubbo - East",15,25,12,62,51,77,74,141,103,192,116,204,88,119,35,37,7,20,11,0,4,0,0,52,2719,4150,
"Dubbo - South",37,35,30,145,70,158,142,182,132,252,210,358,137,207,104,115,25,68,7,0,4,0,8,73,4749,7234,
"Dubbo - West",27,13,10,39,37,65,67,92,62,106,59,101,42,83,58,69,17,34,0,0,4,0,11,43,2627,3670,
"Dubbo Region",43,6,9,7,5,11,10,28,10,13,5,20,5,6,8,0,0,6,4,4,0,0,0,24,1938,2156,
"Gilgandra",76,10,8,51,39,92,54,70,17,39,3,4,0,0,0,0,0,0,0,0,0,0,0,30,1385,1887,
"Narromine",84,24,29,67,36,79,44,83,69,74,40,43,0,23,0,0,0,0,0,3,0,0,0,27,2039,2758,
"Wellington",63,31,26,90,66,116,101,135,72,69,25,31,11,6,0,0,0,4,0,0,0,0,10,39,2619,3513,
"Branxton - Greta - Pokolbin",51,8,8,9,5,17,11,41,24,77,61,133,75,144,47,40,6,45,17,15,0,0,3,33,3105,3965,
"Cessnock",67,32,31,156,58,140,95,166,134,450,393,438,177,210,220,99,10,27,11,0,0,0,3,88,5863,8854,
"Cessnock Region",40,4,4,5,3,13,12,23,21,39,16,48,6,21,18,20,3,22,7,0,0,0,0,14,2790,3134,
"Dungog",67,10,12,33,18,42,27,49,37,80,43,58,46,23,25,19,0,11,7,0,0,0,5,31,3096,3723,
"Kurri Kurri - Abermain",46,13,11,90,35,82,101,127,86,235,239,329,134,147,150,70,10,8,7,5,0,0,0,69,5196,7204,
