Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"SA2 (UR)",
"Albury - South",378,249,1348,798,1347,2415,14,647,284,1209,1611,10302,
"Albury Region",150,123,859,817,1877,2808,15,1031,280,1090,2558,11611,
"Lavington",152,120,764,823,2568,3973,29,1507,481,1479,2580,14473,
"Hay",18,19,139,153,393,867,3,377,47,431,518,2970,
"Wentworth - Buronga",45,58,345,331,893,1498,6,700,123,815,1149,5965,
"Wentworth-Balranald Region",25,28,167,151,467,1010,7,466,66,535,694,3611,
"Corowa",47,43,301,305,947,1552,4,570,127,690,890,5482,
"Corowa Region",51,61,358,371,1084,1895,11,700,163,846,1198,6742,
"Deniliquin",81,69,449,403,1158,1945,7,807,173,1073,1275,7434,
"Deniliquin Region",49,51,413,426,935,1916,13,736,135,889,1199,6751,
"Moama",62,67,443,357,933,1581,10,632,120,619,1020,5845,
"Tocumwal - Finley - Jerilderie",60,75,576,533,1518,2595,10,1102,224,1346,1682,9728,
"Armidale",1608,511,2826,1389,2662,6026,20,1470,569,2129,4126,23348,
"Armidale Region - North",96,45,358,253,606,1141,6,441,127,496,924,4490,
"Armidale Region - South",216,97,581,447,929,1393,3,447,164,599,1140,6023,
"Walcha",34,34,228,205,442,832,3,348,87,450,566,3226,
"Glen Innes",92,70,496,518,1250,2297,11,1062,269,1260,1508,8832,
"Inverell",68,93,710,570,1858,3124,17,1310,291,1253,2368,11660,
"Inverell Region - East",32,35,219,275,751,1381,10,663,132,752,995,5235,
"Inverell Region - West",34,41,341,310,817,1622,8,717,145,822,1128,5987,
"Tenterfield",61,58,399,382,985,1812,11,750,174,962,1036,6624,
"Moree",81,59,518,397,1087,2089,9,805,187,1248,1724,8203,
"Moree Region",34,51,347,302,590,1460,0,506,110,767,1279,5451,
"Narrabri",97,59,448,328,1076,1861,5,753,158,865,1513,7170,
"Narrabri Region",27,36,309,223,565,1319,0,478,106,682,1060,4797,
"Gunnedah",103,79,560,446,1424,2428,13,930,249,1012,1953,9191,
"Gunnedah Region",14,27,254,248,628,1086,0,480,71,524,797,4133,
"Quirindi",51,45,386,394,1080,2164,13,909,204,1007,1442,7684,
"Tamworth - East",251,207,1354,1329,3332,5414,30,1860,608,1970,4022,20372,
"Tamworth - North",353,247,1588,991,2201,3620,24,1190,440,1558,2856,15077,
"Tamworth - West",22,19,185,195,744,1442,15,601,133,675,1535,5563,
"Tamworth Region",217,174,1290,1189,3127,4477,31,1845,467,2008,3660,18472,
"Belmont - Bennetts Green",282,195,1540,1256,3306,4458,18,1589,559,1295,3229,17724,
"Belmont South - Blacksmiths",56,47,353,364,1108,1580,3,641,168,445,847,5604,
"Charlestown - Dudley",677,349,2902,1812,3949,5596,22,1893,693,1490,4580,23965,
"Glendale - Cardiff - Hillsborough",615,326,2383,1634,4091,5831,35,1875,650,1407,4540,23387,
"Mount Hutton - Windale",87,74,454,501,1346,2356,14,1206,250,856,1749,8901,
"Redhead",105,63,431,264,547,785,0,296,89,283,652,3517,
"Swansea - Caves Beach",214,165,946,805,2159,2967,4,1178,359,903,1838,11546,
