Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by STUP Full-Time/Part-Time Student Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"STUP Full-Time/Part-Time Student Status","Not attending","Full-time student","Part-time student","Institution (TYPP) stated, full-time/part-time status (STUP) not stated","Both not stated - both institution (TYPP) and full-time/part-time status (STUP) not stated","Total",
"SA2 (UR)",
"Kingsgrove (North) - Earlwood",16536,4687,1054,38,1370,23679,
"Punchbowl",13393,5176,868,74,1247,20753,
"Roselands",9253,3053,572,32,822,13739,
"Lakemba",10827,4253,804,54,1087,17019,
"Wiley Park",6397,2580,478,35,728,10217,
"Hurstville",15726,5870,908,27,1074,23613,
"Mortdale - Penshurst",16920,4772,1070,32,1111,23907,
"Narwee - Beverly Hills",9758,2826,524,25,657,13781,
"Oatley - Hurstville Grove",8821,2761,592,10,430,12614,
"Peakhurst - Lugarno",12779,3704,745,21,681,17937,
"Riverwood",7891,2204,430,23,733,11277,
"South Hurstville - Blakehurst",16350,5782,1024,46,868,24070,
"Arncliffe - Bardwell Valley",14253,4488,1309,29,1360,21443,
"Bexley",18058,5581,1159,52,1633,26480,
"Kingsgrove (South) - Bardwell Park",8926,2609,498,25,541,12615,
"Kogarah",7782,2375,575,22,555,11315,
"Kogarah Bay - Carlton - Allawah",11141,3344,750,20,720,15965,
"Monterey - Brighton-le-Sands - Kyeemagh",9969,2268,618,32,1081,13972,
"Rockdale - Banksia",13469,4067,992,55,1380,19960,
"Sans Souci - Ramsgate",11736,2630,609,34,967,15976,
"Concord - Mortlake - Cabarita",15794,4128,882,25,918,21742,
"Concord West - North Strathfield",16629,5644,1188,39,1347,24850,
"Drummoyne - Rodd Point",13199,3067,861,21,1178,18326,
"Five Dock - Abbotsford",14958,3272,958,20,1234,20440,
"Balmain",11079,2473,799,10,1323,15686,
"Leichhardt - Annandale",18294,4634,1585,22,1852,26388,
"Lilyfield - Rozelle",10058,2183,701,11,1027,13991,
"Ashfield",16756,4897,1231,34,1582,24497,
"Burwood - Croydon",15791,6448,1109,33,1261,24653,
"Canterbury (North) - Ashbury",7246,2092,520,12,579,10449,
"Croydon Park - Enfield",12082,3628,751,22,746,17222,
"Dulwich Hill - Lewisham",11692,2915,996,22,1185,16809,
"Haberfield - Summer Hill",9343,2668,738,20,700,13474,
"Homebush",10637,3340,762,25,1449,16211,
"Strathfield",16410,6051,1121,44,1387,25016,
"Strathfield South",2421,783,175,6,164,3542,
"Chatswood (East) - Artarmon",19138,6474,1450,36,1584,28683,
"Chatswood (West) - Lane Cove North",14765,4010,1122,35,922,20857,
"Lane Cove - Greenwich",18269,5858,1446,41,1120,26733,
"St Leonards - Naremburn",7717,1483,609,10,680,10500,
"Willoughby - Castle Cove - Northbridge",16946,6283,1175,39,1015,25463,
"Asquith - Mount Colah",12588,4190,980,16,509,18291,
"Berowra - Brooklyn - Cowan",8028,2660,649,17,342,11699,
"Normanhurst - Thornleigh - Westleigh",12440,4488,968,19,619,18531,
"Hornsby - East",8490,2215,692,9,391,11798,
"Hornsby - West",7349,2234,557,13,528,10684,
"Waitara - Wahroonga (West)",6771,1897,519,6,409,9602,
"Gordon - Killara",13844,5635,952,24,870,21328,
"Lindfield - Roseville",15094,6079,1144,20,816,23147,
"Pymble",10506,4504,833,32,479,16354,
"St Ives",13866,5014,946,19,613,20456,
"Turramurra",12922,4553,846,26,929,19267,
"Wahroonga (East) - Warrawee",11559,4658,839,16,754,17822,
"Cremorne - Cammeray",14014,2787,1020,17,1243,19084,
"Crows Nest - Waverton",13674,2106,1078,16,1157,18026,
"Mosman",19608,5547,1318,23,1981,28476,
"Neutral Bay - Kirribilli",13396,1988,917,15,1536,17852,
"North Sydney - Lavender Bay",7836,1347,505,10,1003,10703,
"Balgowlah - Clontarf - Seaforth",13359,4857,1045,35,888,20188,
"Manly - Fairlight",15806,2964,1176,25,1732,21704,
"Avalon - Palm Beach",8772,2408,595,18,591,12374,
"Bayview - Elanora Heights",7515,2081,469,14,664,10745,
"Newport - Bilgola",9300,2756,667,15,447,13186,
"Warriewood - Mona Vale",16864,4751,1246,26,1253,24134,
"Beacon Hill - Narraweena",9642,2913,680,19,623,13882,
"Cromer",5192,1592,377,10,315,7485,
"Dee Why - North Curl Curl",17663,4219,1453,33,1584,24949,
"Forestville - Killarney Heights",8439,3338,629,23,363,12796,
"Frenchs Forest - Belrose",17132,5959,1231,38,812,25171,
"Freshwater - Brookvale",14798,3746,1172,28,1229,20978,
"Manly Vale - Allambie Heights",11370,3774,946,23,754,16870,
"Narrabeen - Collaroy",17666,4285,1211,35,1575,24771,
"Terrey Hills - Duffys Forest",2462,789,186,9,202,3648,
"Camden - Ellis Lane",9203,2462,621,19,663,12963,
"Elderslie - Harrington Park",14207,4852,1124,41,765,20980,
"Mount Annan - Currans Hill",19426,6576,1622,50,906,28576,
"Bradbury - Wedderburn",12880,3994,902,50,1139,18962,
"Campbelltown - Woodbine",12635,3558,779,45,1183,18194,
"Claymore - Eagle Vale - Raby",13839,4425,900,54,1187,20405,
"Holsworthy Military Area",0,0,0,0,0,0,
"Ingleburn - Denham Court",13920,3980,864,30,1194,19985,
"Leumeah - Minto Heights",11842,3140,735,42,785,16541,
"Macquarie Fields - Glenfield",15638,5092,984,55,1779,23556,
"Minto - St Andrews",13647,4475,864,53,855,19887,
"Rosemeadow - Glen Alpine",14163,4421,890,71,1331,20876,
"Bargo",4023,1078,299,3,342,5740,
"Douglas Park - Appin",6755,1936,494,15,422,9625,
"Picton - Tahmoor - Buxton",11621,3286,807,40,1039,16786,
"The Oaks - Oakdale",6083,1999,444,25,443,8997,
"Blackheath - Megalong Valley",4096,761,272,5,426,5560,
"Blaxland - Warrimoo - Lapstone",13132,3979,1149,16,667,18936,
"Blue Mountains - North",11,3,0,0,0,12,
"Katoomba - Leura",9445,2115,703,24,933,13222,
