Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by LFSP Labour Force Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LFSP Labour Force Status","Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work","Not in the labour force","Not stated","Not applicable","Total",
"SA2 (UR)",
"Waterloo - Beaconsfield",12554,3741,750,569,710,8824,3087,2826,33061,
"Bondi - Tamarama - Bronte",7210,2758,449,222,185,3128,1633,2812,18401,
"Bondi Beach - North Bondi",8397,2980,499,220,230,3046,2172,3189,20729,
"Bondi Junction - Waverly",5858,2419,359,179,183,3497,1837,2525,16853,
"Centennial Park",0,0,0,0,0,0,0,0,0,
"Double Bay - Bellevue Hill",8779,3510,540,233,205,5857,2181,3575,24870,
"Dover Heights",3500,1771,234,111,126,2369,539,2180,10830,
"Paddington - Moore Park",6589,2044,364,171,142,2559,1321,1976,15171,
"Rose Bay - Vaucluse - Watsons Bay",3374,1794,224,96,115,3169,674,2405,11844,
"Woollahra",2768,1045,151,71,61,1773,688,1136,7686,
"Coogee - Clovelly",9883,3648,618,296,259,4657,1898,4199,25455,
"Malabar - La Perouse - Chifley",6554,3144,537,247,232,7775,1558,3990,24036,
"Kensington (NSW)",3827,2279,420,201,579,5114,1002,1463,14887,
"Kingsford",3815,2267,290,260,489,5993,725,1767,15602,
"Maroubra - North",3182,1418,196,107,107,2778,423,1598,9812,
"Maroubra - South",3177,1532,255,122,135,3013,689,1752,10681,
"Maroubra - West",3049,1421,214,148,197,3020,531,1618,10195,
"Randwick - North",6769,2447,397,182,190,3170,1043,2677,16874,
"Randwick - South",4846,1808,293,143,150,2771,1208,1888,13113,
"Bass Hill - Georges Hall",4680,2529,477,423,315,7572,931,4911,21834,
"Chullora",300,92,35,13,10,190,70,188,900,
"Condell Park",2668,1357,263,203,183,3499,480,2655,11305,
"Greenacre - Mount Lewis",5116,3034,603,443,403,8851,1231,6285,25964,
"Padstow",5000,2199,353,257,242,4982,643,2800,16475,
"Panania - Milperra - Picnic Point",7829,3775,610,324,334,6819,861,5229,25788,
"Revesby",4848,2117,352,261,227,4672,667,3073,16223,
"Yagoona - Birrong",4690,2368,473,434,367,6901,974,4496,20706,
"Bankstown - North",3626,1982,331,403,315,4966,953,3659,16237,
"Bankstown - South",3410,1841,352,371,326,5174,1142,3387,15993,
"Belmore - Belfield",4965,2573,450,343,286,6049,855,3524,19033,
"Canterbury (South) - Campsie",8216,4824,727,595,705,9293,1475,4786,30620,
"Kingsgrove (North) - Earlwood",6827,3299,548,288,262,6960,1122,4367,23679,
"Punchbowl",4191,2569,529,464,365,6956,1017,4673,20753,
