Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Families, Place of Enumeration"
"SA2 by HIED Equivalised Total Household Income (weekly)"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"HIED Equivalised Total Household Income (weekly)","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800 - $25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000 or more ($156,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"Woonona - Bulli - Russell Vale",68,60,225,437,831,561,634,701,858,655,509,449,453,153,160,605,171,288,7814,
"Wollongong - East",172,82,298,420,578,558,503,564,649,450,413,319,371,103,224,457,180,893,7237,
"Wollongong - West",187,107,393,550,702,667,571,656,675,487,338,262,292,72,111,518,152,381,7108,
"Bulahdelah - Stroud",22,34,95,174,332,239,204,171,161,91,62,43,29,8,25,147,73,150,2067,
"Forster",77,58,272,586,1208,914,686,608,482,261,165,129,120,31,86,399,250,496,6819,
"Forster-Tuncurry Region",37,49,122,255,407,355,282,225,180,122,48,52,32,11,19,229,81,259,2782,
"Tuncurry",39,35,150,287,672,435,307,265,169,92,41,38,23,10,23,154,166,330,3247,
"Kempsey",41,69,325,616,1020,744,607,539,426,207,107,57,58,9,34,382,254,497,5983,
"Kempsey Region",58,44,216,355,638,530,368,359,328,163,72,44,57,16,40,335,119,436,4180,
"Macksville - Scotts Head",22,21,98,185,350,290,227,191,172,90,45,29,18,7,16,141,76,156,2140,
"Nambucca Heads",33,41,196,385,690,435,296,249,210,91,59,47,24,8,32,204,142,364,3508,
"Nambucca Heads Region",43,37,184,336,532,404,313,324,244,122,83,50,47,12,30,242,84,226,3330,
"South West Rocks",23,22,76,204,455,363,255,232,197,93,72,29,35,4,23,134,97,297,2622,
"Lord Howe Island",0,0,4,0,9,15,11,16,18,18,3,5,8,3,0,16,4,34,180,
"Laurieton - Bonny Hills",98,72,262,615,1361,1024,755,735,602,336,211,128,118,30,54,546,290,477,7706,
"Port Macquarie - East",145,61,349,852,1581,1468,1276,1312,1235,733,544,396,384,117,200,756,337,767,12511,
"Port Macquarie - West",69,59,288,639,1355,1018,818,830,689,405,250,194,158,40,94,421,304,597,8228,
"Port Macquarie Region",19,26,93,144,265,241,204,237,193,118,65,41,56,11,23,189,67,198,2201,
"Wauchope",39,23,172,336,671,603,476,479,444,212,130,74,72,47,42,342,147,221,4542,
"Gloucester",28,35,92,218,391,258,252,195,163,93,42,37,40,10,12,165,73,162,2285,
"Old Bar - Manning Point - Red Head",55,33,184,324,718,596,479,474,399,244,159,117,115,19,44,359,109,214,4641,
"Taree",97,116,551,936,1593,1180,854,880,703,329,171,112,83,24,70,560,351,504,9108,
"Taree Region",100,63,287,552,913,727,549,473,359,198,124,95,74,26,47,421,130,467,5599,
"Wingham",12,20,108,224,432,340,272,221,154,91,40,32,19,4,8,164,92,95,2324,
"Albury - East",32,33,163,286,500,549,576,685,718,510,386,230,226,65,77,432,106,284,5854,
"Albury - North",53,46,206,312,490,446,420,482,457,260,163,95,88,12,51,271,117,319,4291,
"Albury - South",59,34,216,292,454,407,421,439,468,371,224,184,235,68,117,275,118,422,4795,
"Albury Region",43,45,171,285,568,469,428,492,467,262,180,137,115,32,83,380,145,256,4558,
"Lavington",77,68,359,604,939,832,647,763,601,334,173,139,68,11,46,352,214,433,6662,
"Hay",16,28,65,71,154,128,119,113,108,76,36,33,22,5,24,104,65,192,1352,
"Wentworth - Buronga",32,27,124,180,323,234,232,258,198,129,80,54,65,15,32,206,93,314,2594,
"Wentworth-Balranald Region",30,20,53,101,148,159,144,139,149,70,47,36,11,4,31,132,69,277,1614,
"Corowa",31,19,111,172,360,283,242,248,224,158,81,67,38,8,16,144,119,150,2482,
"Corowa Region",30,35,85,201,420,335,261,328,247,156,87,67,46,4,37,221,130,308,3008,
"Deniliquin",48,44,131,248,435,309,308,338,298,189,121,75,80,20,42,219,134,374,3422,
"Deniliquin Region",54,35,120,257,369,321,264,258,244,158,82,57,68,17,30,222,119,319,2999,
"Moama",31,19,74,137,336,261,247,263,256,149,124,66,54,10,23,161,85,234,2537,
"Tocumwal - Finley - Jerilderie",48,47,192,323,633,437,423,408,379,191,102,87,82,19,56,287,182,486,4376,
"Armidale",108,77,395,634,1007,965,863,931,921,597,420,317,352,72,139,645,223,673,9343,
"Armidale Region - North",34,24,81,134,236,231,192,184,150,86,61,39,32,10,32,155,69,149,1883,
"Armidale Region - South",20,20,109,182,338,291,242,272,226,140,97,62,66,12,35,198,66,154,2549,
"Walcha",26,27,56,112,175,144,121,139,124,71,33,29,37,8,35,108,63,159,1461,
"Glen Innes",58,57,220,392,664,460,355,329,279,151,82,55,69,13,29,256,159,339,3954,
"Inverell",45,40,314,425,772,579,517,524,427,252,137,95,84,23,41,310,191,330,5108,
"Inverell Region - East",52,43,121,227,349,243,212,154,129,80,32,24,22,3,20,180,80,206,2169,
"Inverell Region - West",49,39,154,236,422,289,208,208,191,110,69,42,32,4,34,194,108,267,2670,
"Tenterfield",61,57,208,332,558,339,256,259,189,92,47,52,43,13,28,219,97,392,3223,
"Moree",47,38,175,241,322,302,293,305,334,240,146,106,91,26,70,279,191,570,3757,
"Moree Region",28,32,86,132,162,173,200,200,227,137,81,63,63,16,64,187,89,293,2230,
"Narrabri",30,16,139,195,299,247,267,291,292,203,136,100,98,35,43,226,119,348,3090,
"Narrabri Region",36,32,93,127,184,195,172,185,180,115,70,55,59,8,37,139,65,250,2009,
"Gunnedah",37,25,170,282,490,354,311,366,379,235,182,139,170,44,69,240,147,274,3924,
"Gunnedah Region",22,21,69,120,206,161,143,159,155,90,67,52,61,19,37,160,54,172,1773,
"Quirindi",42,25,183,275,437,367,338,307,268,161,102,78,75,13,56,235,127,279,3372,
"Tamworth - East",77,53,293,563,1004,983,870,999,940,601,351,237,208,55,90,594,272,524,8714,
