Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by SLPP Sex of Lone Parent"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"SLPP Sex of Lone Parent","Male lone parent","Female lone parent","Not applicable","Total",
"Gymea - Grays Point",105,475,16896,17479,
"Miranda - Yowie Bay",138,665,17428,18230,
"Sylvania - Taren Point",111,487,15334,15940,
"Caringbah",103,496,11170,11764,
"Caringbah South",81,293,11685,12058,
"Cronulla - Kurnell - Bundeena",195,690,22607,23487,
"Lilli Pilli - Port Hacking - Dolans Bay",14,48,3089,3149,
"Woolaware - Burraneer",58,179,7489,7728,
"Heathcote - Waterfall",43,168,6293,6504,
"Illawong - Alfords Point",69,217,10076,10366,
"Menai - Lucas Heights - Woronora",144,656,20336,21128,
"Oyster Bay - Como - Jannali",144,481,20627,21254,
"Royal National Park",0,0,24,24,
"Sutherland - Kirrawee",170,780,19921,20874,
"Engadine",113,515,16366,16992,
"Loftus - Yarrawarrah",47,182,7019,7247,
"Woronora Heights",21,70,3552,3646,
"Migratory - Offshore - Shipping (NSW)",0,0,419,419,
"No Usual Address (NSW)",0,0,12288,12288,
"Aranda",9,56,2331,2397,
"Belconnen",22,133,6502,6651,
"Bruce",30,86,6883,6996,
"Charnwood",48,159,2764,2979,
"Cook",24,81,2702,2804,
"Dunlop",52,231,6915,7199,
"Evatt",55,163,5113,5329,
"Florey",40,199,4526,4769,
"Flynn (ACT)",29,94,3232,3355,
"Fraser",19,62,1943,2027,
"Giralang",27,95,3194,3312,
"Gooromon",0,0,10,10,
"Hawker",23,74,2851,2956,
"Higgins",32,102,2935,3069,
"Holt",48,187,4391,4623,
"Kaleen",60,177,7029,7270,
"Latham",31,125,3480,3637,
"Lawson",3,5,139,142,
"Macgregor (ACT)",51,235,6512,6794,
