Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by BPLP Country of Birth of Person"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"BPLP Country of Birth of Person","COB_overseas","COB_aust","Total",
"Coogee - Clovelly",10658,14793,25455,
"Malabar - La Perouse - Chifley",9401,14639,24036,
"Kensington (NSW)",8708,6177,14887,
"Kingsford",9959,5638,15602,
"Maroubra - North",4328,5483,9812,
"Maroubra - South",4939,5745,10681,
"Maroubra - West",5786,4410,10195,
"Randwick - North",7623,9252,16874,
"Randwick - South",6876,6244,13113,
"Bass Hill - Georges Hall",8860,12971,21834,
"Chullora",548,348,900,
"Condell Park",5215,6090,11305,
"Greenacre - Mount Lewis",12177,13790,25964,
"Padstow",6389,10084,16475,
"Panania - Milperra - Picnic Point",7184,18603,25788,
"Revesby",6598,9625,16223,
"Yagoona - Birrong",10284,10421,20706,
"Bankstown - North",10204,6036,16237,
"Bankstown - South",10054,5945,15993,
"Belmore - Belfield",9904,9129,19033,
"Canterbury (South) - Campsie",20629,9995,30620,
"Kingsgrove (North) - Earlwood",9861,13817,23679,
"Punchbowl",11282,9471,20753,
"Roselands",6207,7529,13739,
"Lakemba",11681,5348,17019,
"Wiley Park",6797,3420,10217,
"Hurstville",16501,7110,23613,
"Mortdale - Penshurst",11004,12902,23907,
"Narwee - Beverly Hills",7392,6397,13781,
"Oatley - Hurstville Grove",4324,8288,12614,
"Peakhurst - Lugarno",5323,12610,17937,
"Riverwood",6888,4389,11277,
"South Hurstville - Blakehurst",12354,11710,24070,
"Arncliffe - Bardwell Valley",12817,8624,21443,
"Bexley",14249,12234,26480,
"Kingsgrove (South) - Bardwell Park",5534,7082,12615,
"Kogarah",7320,3997,11315,
"Kogarah Bay - Carlton - Allawah",8529,7439,15965,
"Monterey - Brighton-le-Sands - Kyeemagh",6703,7269,13972,
"Rockdale - Banksia",13144,6818,19960,
"Sans Souci - Ramsgate",5891,10080,15976,
"Concord - Mortlake - Cabarita",8618,13124,21742,
"Concord West - North Strathfield",16084,8759,24850,
"Drummoyne - Rodd Point",6373,11957,18326,
"Five Dock - Abbotsford",7791,12650,20440,
"Balmain",5926,9766,15686,
"Leichhardt - Annandale",9164,17225,26388,
"Lilyfield - Rozelle",5065,8926,13991,
"Ashfield",14849,9651,24497,
"Burwood - Croydon",16155,8499,24653,
"Canterbury (North) - Ashbury",4738,5711,10449,
"Croydon Park - Enfield",7827,9397,17222,
"Dulwich Hill - Lewisham",6771,10037,16809,
"Haberfield - Summer Hill",5125,8350,13474,
"Homebush",11981,4230,16211,
"Strathfield",16337,8679,25016,
"Strathfield South",1769,1776,3542,
"Chatswood (East) - Artarmon",18256,10427,28683,
"Chatswood (West) - Lane Cove North",10754,10102,20857,
"Lane Cove - Greenwich",9980,16757,26733,
"St Leonards - Naremburn",5402,5098,10500,
"Willoughby - Castle Cove - Northbridge",9245,16217,25463,
"Asquith - Mount Colah",5790,12495,18291,
"Berowra - Brooklyn - Cowan",2874,8823,11699,
"Normanhurst - Thornleigh - Westleigh",6503,12029,18531,
"Hornsby - East",7494,4305,11798,
"Hornsby - West",4819,5860,10684,
"Waitara - Wahroonga (West)",5605,3996,9602,
"Gordon - Killara",10665,10663,21328,
"Lindfield - Roseville",9327,13820,23147,
"Pymble",6472,9882,16354,
"St Ives",9816,10636,20456,
"Turramurra",7285,11978,19267,
"Wahroonga (East) - Warrawee",6890,10934,17822,
"Cremorne - Cammeray",7895,11187,19084,
"Crows Nest - Waverton",8059,9967,18026,
"Mosman",11523,16949,28476,
"Neutral Bay - Kirribilli",8115,9741,17852,
"North Sydney - Lavender Bay",5620,5089,10703,
"Balgowlah - Clontarf - Seaforth",7235,12948,20188,
"Manly - Fairlight",9782,11924,21704,
"Avalon - Palm Beach",3361,9015,12374,
