Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by ENGP Proficiency in Spoken English"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"ENGP Proficiency in Spoken English","Very well","Well","Not well","Not at all","Not stated - both language (LANP) and proficiency (ENGP) not stated","Not stated - language (LANP) stated, proficiency (ENGP) not stated","Not applicable","Total",
"SA2 (UR)",
"Castle Hill - Central",1622,685,323,123,208,26,4615,7609,
"Castle Hill - East",1219,411,144,62,623,16,3121,5594,
"Castle Hill - North",2246,931,414,146,301,17,7830,11886,
"Castle Hill - South",1967,814,420,191,242,34,5854,9519,
"Castle Hill - West",1437,465,185,51,116,7,2974,5239,
"Cherrybrook",5365,1697,630,236,367,53,10410,18768,
"Kellyville",5265,1648,646,269,566,55,14774,23231,
"Dural - Kenthurst - Wisemans Ferry",2425,685,293,84,904,27,16597,21019,
"Galston - Laughtondale",345,80,44,18,199,7,4517,5210,
"Bilpin - Colo - St Albans",73,20,3,0,369,0,2223,2691,
"Kurrajong Heights - Ebenezer",746,190,81,21,1248,16,19596,21898,
"Pitt Town - McGraths Hill",570,177,80,28,459,9,9203,10531,
"Rouse Hill - Beaumont Hills",4403,1238,437,185,624,50,15711,22651,
"Blacktown (East) - Kings Park",4820,2560,989,386,917,120,7131,16920,
"Blacktown (North) - Marayong",4415,2045,814,238,645,63,9802,18024,
"Doonside - Woodcroft",7403,2934,906,283,854,86,10058,22526,
"Lalor Park - Kings Langley",4079,1662,677,250,1156,89,16968,24874,
"Seven Hills - Toongabbie",6400,2883,1278,372,1090,109,11792,23920,
"Blacktown (South)",3404,1495,592,204,555,58,6010,12325,
"Blacktown (West)",4500,2011,822,325,679,95,7728,16154,
"Glenwood",5473,1548,518,202,272,60,8062,16128,
"Parklea - Kellyville Ridge",9431,2583,870,357,2038,111,17255,32645,
"Riverstone - Marsden Park",3281,1013,374,166,1076,61,11338,17307,
"Acacia Gardens",1172,331,96,40,93,14,2054,3796,
"Quakers Hill",5550,1883,565,259,668,89,13926,22945,
"Bidwill - Hebersham - Emerton",2986,1435,650,153,1539,81,11604,18439,
"Glendenning - Dean Park",2325,933,302,118,289,54,4326,8354,
"Hassall Grove - Plumpton",6179,2361,710,199,898,89,10236,20673,
"Lethbridge Park - Tregear",3483,1359,508,129,1664,79,13482,20705,
"Mount Druitt - Whalan",6361,3308,1473,459,1297,141,9664,22701,
"Prospect Reservoir",4,0,0,0,21,0,16,39,
"Rooty Hill - Minchinbury",6150,2574,825,292,810,113,10385,21152,
"Banksmeadow",0,0,0,0,6,0,14,18,
"Botany",1681,732,262,73,626,46,7394,10822,
"Mascot - Eastlakes",6422,4598,1766,372,1307,127,9807,24407,
"Pagewood - Hillsdale - Daceyville",2594,1431,600,161,810,59,5716,11374,
"Port Botany Industrial",3,0,0,0,0,0,0,11,
"Sydney Airport",6,3,0,0,28,0,18,61,
"Marrickville",4707,2529,2174,472,1794,86,14784,26540,
"Petersham - Stanmore",2486,1011,600,117,1723,32,14268,20234,
"Sydenham - Tempe - St Peters",1234,576,432,86,476,27,5014,7840,
"Darlinghurst",1471,689,193,37,1798,13,7116,11317,
"Erskineville - Alexandria",1984,646,252,116,1310,25,11898,16236,
"Glebe - Forest Lodge",2906,1579,541,167,1916,49,12451,19614,
"Newtown - Camperdown - Darlington",3182,1838,549,92,2167,34,16988,24840,
"Potts Point - Woolloomooloo",2570,928,327,68,4439,32,12841,21200,
"Pyrmont - Ultimo",4572,4524,1581,321,2197,75,8390,21655,
"Redfern - Chippendale",3739,3614,1205,314,2512,67,11049,22495,
"Surry Hills",2314,1458,747,159,2125,38,9565,16416,
"Sydney - Haymarket - The Rocks",5201,7578,3375,401,3826,140,6878,27408,
"Waterloo - Beaconsfield",6602,5885,2150,540,3223,104,14558,33061,
